Date,Open,High,Low,Close,Volume,Adj Close
9/28/2011,72.1,72.25,70.1,70.55,6106800,56.696
9/27/2011,73.1,73.7,72.1,73.45,3629400,59.027
9/26/2011,72.143,73.2,70.6,72.85,5965000,58.545
9/23/2011,73.7,74,71.5,72.25,6311500,58.062
9/22/2011,73.7,74.5,73.55,74.1,4861400,59.549
9/21/2011,74.4,74.9,73.6,74.8,5408200,60.112
9/20/2011,73.5,75.2,73.15,74.95,5541600,60.232
9/19/2011,72.4,73.25,72,72.85,2222400,58.545
9/16/2011,73.5,73.75,72.9,73.1,2230400,58.746
9/15/2011,72.45,73.5,71.85,73.35,4223300,58.946
9/14/2011,72.2,72.7,70.55,72.5,4263500,58.263
9/12/2011,71.3,71.95,71.2,71.7,2902600,57.62
9/9/2011,71.95,72.5,71.5,71.85,1891000,57.741
9/8/2011,72.5,72.85,71,71.3,1908600,57.299
9/7/2011,72.8,72.95,71.55,72.7,2787600,58.424
9/6/2011,70,72,69.25,71.95,3327100,57.821
9/5/2011,71.55,71.7,69.75,69.95,2449300,56.214
9/2/2011,72.5,72.6,71.55,72,4976200,57.862
9/1/2011,72.5,72.95,72.15,72.75,4011500,58.046
8/31/2011,71.25,72.3,71.2,72.15,2534400,57.568
8/30/2011,72.5,72.5,71.05,71.9,2594900,57.368
8/29/2011,72.75,72.75,71.55,71.7,1452700,57.209
8/26/2011,72.05,72.35,71.55,71.85,2829800,57.328
8/25/2011,71.5,72.35,70.95,72.25,4886000,57.647
8/24/2011,71,71.4,70.25,71,2360100,56.65
8/23/2011,69.3,71,68.55,70.65,4468400,56.371
8/22/2011,68.7,69.5,67.65,69.3,4826800,55.294
8/19/2011,68.85,68.85,68,68.3,3410600,54.496
8/18/2011,68.9,70.3,68.9,69.7,3795500,55.613
8/17/2011,68,69.9,67.6,69.75,5152600,55.653
8/16/2011,66.25,68.35,66.25,68.1,3271100,54.336
8/15/2011,67.9,67.9,65.8,66.9,3682600,53.379
8/12/2011,68,68,67,67.45,2174300,53.818
8/11/2011,66,68.25,66,67.65,3404800,53.977
8/10/2011,68.75,68.8,67,67.75,6198500,54.057
8/9/2011,66,69.1,64.9,66.95,9337000,53.419
8/8/2011,68,69.4,67,67.85,5667400,54.137
8/5/2011,70.9,70.9,67.85,69.2,8311200,55.214
8/4/2011,70.85,71.2,70.05,70.45,2092300,56.211
8/3/2011,72,72,70.75,70.85,2819200,56.53
8/2/2011,71.85,73,71.85,72.15,2389300,57.568
8/1/2011,72.4,73.05,71.55,72.35,2633300,57.727
7/29/2011,72.65,72.65,70.4,72,3050900,57.448
7/28/2011,70,72,70,71.65,2445000,57.169
7/27/2011,70.35,70.85,70.2,70.8,820700,56.491
7/26/2011,69.4,71.05,69.4,70.7,1810900,56.411
7/25/2011,69.45,70.3,69.45,69.9,1648200,55.772
7/22/2011,69.65,70,69.2,69.9,1430400,55.772
7/21/2011,70,70,69.4,69.65,1079700,55.573
7/20/2011,69.8,69.9,69.3,69.8,2293900,55.693
7/19/2011,67.85,69.45,67.85,69.3,2107500,55.294
7/18/2011,68.15,68.8,68.15,68.3,1291700,54.496
7/15/2011,68.4,69.1,68.25,68.65,2360700,54.775
7/14/2011,68.55,68.85,68.2,68.5,1776400,54.655
7/13/2011,67.8,68.7,67.1,68.55,3459000,54.695
7/12/2011,68,68.15,67.35,67.5,3142500,53.857
7/11/2011,67.8,68.25,67.45,67.6,1386200,53.937
7/8/2011,67.25,68.05,67.25,67.7,2596400,54.017
7/7/2011,67.35,68,67,67.05,2628500,53.498
7/6/2011,67.65,68.2,67.4,67.45,2202700,53.818
7/5/2011,68.2,68.5,67.6,67.8,2183500,54.097
7/4/2011,69,69.4,67.65,68.2,3762300,54.416
6/30/2011,67.95,69,67.95,68.95,2634700,55.014
6/29/2011,67.95,68.1,67.55,67.95,1536100,54.217
6/28/2011,68,68.2,67.45,68,1560500,54.256
6/27/2011,67.9,68.2,67.75,68.15,2232400,54.376
6/24/2011,67.95,68.45,67.45,68.25,3970200,54.456
6/23/2011,67,67.5,66.7,67.25,1742400,53.658
6/22/2011,67.3,67.3,66.6,67,2230600,53.459
6/21/2011,65.8,67.45,65.6,67.3,5412800,53.698
6/20/2011,65.85,65.95,65.15,65.6,3290700,52.341
6/17/2011,66.75,66.75,65.6,65.7,2681200,52.421
6/16/2011,66.35,67.4,66,66.65,6294600,53.179
6/15/2011,66.2,67.55,65.7,67.3,6027400,53.698
6/14/2011,64.85,66,64.75,65.75,2452100,52.461
6/13/2011,64.6,65.2,64.5,65.1,1673400,51.943
6/10/2011,64.95,65,64.35,64.75,2259300,51.663
6/9/2011,64.9,65.05,64.35,64.95,2639000,51.823
6/8/2011,64.9,65,64.4,64.6,2985100,51.544
6/7/2011,65.95,65.95,64.9,65.15,3123700,51.982
6/3/2011,66.05,66.15,65,65.1,3592600,51.943
6/2/2011,66.25,66.35,65.7,65.9,2242400,52.581
6/1/2011,65.95,66.8,65.5,66.55,4589900,53.099
5/31/2011,66,66.5,65.55,66.4,4635400,52.565
5/30/2011,65.35,65.5,64.95,65.35,1458000,51.734
5/27/2011,64.8,65.3,64.4,65.25,2735700,51.655
5/26/2011,64.45,64.8,64.4,64.7,1681700,51.219
5/25/2011,63.8,64.6,63.75,64.45,1425400,51.021
5/24/2011,64.05,64.3,63.95,64.05,796600,50.705
5/23/2011,64.2,64.25,63.75,64.05,2151100,50.705
5/20/2011,64.4,64.5,64.15,64.45,1214600,51.021
5/19/2011,64.05,64.45,63.75,64.45,3154300,51.021
5/18/2011,64.1,64.25,64,64.15,1499200,50.784
5/17/2011,63.65,64.05,63.55,63.95,1589700,50.625
5/16/2011,63.65,64.2,63.65,63.95,1305500,50.625
5/13/2011,64,64.2,63.45,64.15,1947700,50.784
5/12/2011,63.9,64.05,63.35,63.45,1637200,50.23
5/11/2011,64.2,64.2,63.6,63.9,1732100,50.586
5/9/2011,64,64.1,63.65,64.05,949100,50.705
5/6/2011,63.75,64,63.5,63.65,2203100,50.388
5/5/2011,64,64.1,63.5,64,2305100,50.665
5/4/2011,63.6,63.95,63.35,63.65,2794400,50.388
5/3/2011,63.5,64.1,63.5,63.75,1609500,50.467
4/29/2011,63.6,64,63.55,63.9,1554900,50.586
4/28/2011,64.05,64.1,63.25,63.95,2998700,50.625
4/27/2011,63.95,64.1,63.5,63.7,1756800,50.427
4/26/2011,63.55,63.7,63.2,63.6,1621200,50.348
4/21/2011,63.35,64,63.1,63.9,1246800,50.586
4/20/2011,63.2,63.45,63,63.35,3452700,50.15
4/19/2011,63.65,63.8,63.35,63.5,1584000,50.269
4/18/2011,64.05,64.2,63.55,63.9,1296600,50.586
4/15/2011,64.15,64.15,63.55,63.8,1554600,50.507
4/14/2011,63.75,64.15,63.75,63.85,1770400,50.546
4/13/2011,64.15,64.15,63.75,64.05,3005500,50.705
4/12/2011,63.8,64,63.55,63.75,2740300,50.467
4/11/2011,63.4,63.9,63.35,63.8,1583100,50.507
4/8/2011,63.8,63.85,63.2,63.8,2582900,50.507
4/7/2011,63.45,63.95,63.45,63.9,2505700,50.586
4/6/2011,64.2,64.2,63.35,63.7,3493800,50.427
4/4/2011,63.25,63.55,62.85,63.55,3059200,50.309
4/1/2011,63.35,63.5,62.85,63.25,2325200,50.071
